# Room house curve: a gentle bass lift above the through-band.
# Referenced to the through-band (0 dB from ~200 Hz upward), i.e. these values
# say how much to lift the bass relative to the level where the correction hands
# off to the uncorrected region above the cutoff. It returns to 0 dB by ~200 Hz
# so it crosses over cleanly (no dip or boost at the cutoff).
# Use as a room-fit --target-csv, or as a reference overlay on the fit graphs.
# room-fit anchors any target to 0 dB at its cutoff, so the absolute level here
# does not matter - only the shape relative to the through-band does.
# headmatch_target_semantics=absolute
frequency_hz,target_db
20,4.0
30,3.6
40,3.2
50,2.7
63,2.2
80,1.7
100,1.3
125,0.9
160,0.4
200,0.1
250,0.0
315,0.0
400,0.0
500,0.0
630,0.0
800,0.0
1000,0.0
